age,income,F,M,O,user id,type 3,offers type 3,viewed type 3,completed type 3
68,70000.0,0,1,0,e2127556f4f64592b11af22de27a7932,9.21,2.0,2.0,1.0
65,53000.0,0,1,0,389bc3fa690240e798340f5a15918d5c,13.445,2.0,2.0,2.0
58,51000.0,0,1,0,2eeac8d8feae4a8cad5a6af0499a211d,3.57,2.0,2.0,1.0
61,57000.0,1,0,0,aa4862eba776480b8bb9c68455b8c2e1,0.0,1.0,1.0,0.0
62,71000.0,1,0,0,31dda685af34476cad5bc968bdb01c53,0.0,4.0,4.0,0.0
57,42000.0,0,1,0,6445de3b47274c759400cd68131d91b4,0.225,2.0,1.0,1.0
40,71000.0,1,0,0,440cf1fd7580490c971d8c651ed962af,0.0,2.0,2.0,0.0
64,100000.0,0,1,0,4b0da7e80e5945209a1fdddfe813dbe0,0.0,1.0,1.0,0.0
78,71000.0,1,0,0,c27e0d6ab72c455a8bb66d980963de60,13.32,1.0,1.0,1.0
42,69000.0,0,1,0,f806632c011441378d4646567f357a21,0.0,1.0,1.0,0.0
56,88000.0,1,0,0,d058f73bf8674a26a95227db098147b1,13.615,2.0,2.0,1.0
33,52000.0,1,0,0,c6c9884912c645429f3333f912b55f44,0.614,5.0,3.0,1.0
59,41000.0,0,1,0,ebe7ef46ea6f4963a7dd49f501b26779,10.41,2.0,2.0,2.0
67,96000.0,0,1,0,5917d13f6fa04286abdf95f4d5cefb1e,0.0,1.0,1.0,0.0
22,70000.0,0,1,0,1e9420836d554513ab90eba98552d0a9,24.725,2.0,2.0,2.0
56,68000.0,0,1,0,8dabe2142cdf4013a6f4786edf8ab00f,23.71,1.0,1.0,1.0
26,63000.0,1,0,0,9f30b375d7bd4c62a884ffe7034e09ee,5.895,2.0,2.0,2.0
75,40000.0,0,1,0,6e014185620b49bd98749f728747572f,1.905,2.0,2.0,1.0
45,33000.0,0,1,0,c0d210398dee4a0895b24444a5fcd1d2,9.3,1.0,1.0,1.0
61,98000.0,0,1,0,8b70ca1f5f5a45bdac2ac2f990b71526,29.03,1.0,1.0,1.0
69,37000.0,1,0,0,8e7c7465e98c43d8a01f51e2b5c29542,0.0,1.0,1.0,0.0
54,80000.0,1,0,0,57dd18ec5ddc46828afb81ec5977bef2,23.32,1.0,1.0,1.0
41,41000.0,1,0,0,3f89b8f80ebc4f94b7074f28071aa8d4,2.56,1.0,1.0,1.0
39,56000.0,1,0,0,f247806381704ea58c1b06f60602a6ae,1.18,1.0,1.0,1.0
42,96000.0,0,1,0,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,24.703333333333333,3.0,3.0,3.0
78,93000.0,1,0,0,fe8264108d5b4f198453bbb1fa7ca6c9,32.155,2.0,2.0,2.0
45,48000.0,0,1,0,186d6403f5824c739555b732f4af3f16,0.0,2.0,1.0,0.0
29,50000.0,0,1,0,8a87fda1a6644337b4394a4c3cd0946c,0.0,2.0,1.0,0.0
44,35000.0,0,1,0,b7a66e629b134079a9bc7120c7b9947b,0.0,1.0,1.0,0.0
63,56000.0,0,1,0,ca82e1ebc759402c8ab95c341755bdf1,15.004999999999999,2.0,2.0,2.0
36,56000.0,0,1,0,54890f68699049c2a04d415abc25e717,15.61,1.0,1.0,1.0
76,47000.0,1,0,0,ab66a363907e43e9a7cd535f1578245b,4.28,2.0,1.0,1.0
68,87000.0,0,1,0,d3f146b615514c6380b168bb3df5f05b,21.91,2.0,2.0,2.0
75,52000.0,0,1,0,a5a6ef2b78a04ddc9f374dd7c7f60bff,12.4,1.0,1.0,1.0
67,76000.0,0,1,0,2e87ba0fba1a4d1a8614af771f07a94d,10.19,2.0,2.0,1.0
76,64000.0,0,1,0,39dbcf43e24d41f4bbf0f134157e0e1e,26.4,1.0,1.0,1.0
53,72000.0,1,0,0,8c7df0c393db488aac3e58b06a7ea5f9,13.285,2.0,1.0,1.0
53,55000.0,1,0,0,8045834137dc47faa24f2c4547969f33,0.6733333333333333,3.0,1.0,1.0
61,112000.0,1,0,0,fb98ebe9e3e14afaa5b5db182b00b7ec,16.69,4.0,4.0,2.0
