age,income,F,M,O,user id,type 2,offers type 2,viewed type 2,completed type 2
75,100000.0,1,0,0,78afa995795e4d85b5d9ceeca43f5fef,19.67,1.0,1.0,0.0
61,57000.0,1,0,0,aa4862eba776480b8bb9c68455b8c2e1,0.0,1.0,1.0,0.0
49,52000.0,0,1,0,62cf5e10845442329191fc246e7bcea3,7.3,1.0,1.0,0.0
61,40000.0,1,0,0,a448667f336b42c9a66fc5ffd5d73772,0.0,1.0,1.0,0.0
64,100000.0,0,1,0,4b0da7e80e5945209a1fdddfe813dbe0,0.0,1.0,1.0,0.0
78,71000.0,1,0,0,c27e0d6ab72c455a8bb66d980963de60,15.377499999999998,4.0,4.0,0.0
42,69000.0,0,1,0,f806632c011441378d4646567f357a21,15.93,1.0,1.0,0.0
59,41000.0,0,1,0,ebe7ef46ea6f4963a7dd49f501b26779,3.7750000000000004,2.0,2.0,0.0
53,52000.0,0,0,1,d1ede868e29245ea91818a903fec04c6,1.72,1.0,1.0,0.0
22,70000.0,0,1,0,1e9420836d554513ab90eba98552d0a9,0.0,1.0,1.0,0.0
96,89000.0,1,0,0,868317b9be554cb18e50bc68484749a2,0.0,1.0,1.0,0.0
40,33000.0,0,1,0,f082d80f0aac47a99173ba8ef8fc1909,2.25,1.0,1.0,0.0
69,57000.0,1,0,0,102e9454054946fda62242d2e176fdce,4.105,2.0,2.0,0.0
26,63000.0,1,0,0,9f30b375d7bd4c62a884ffe7034e09ee,5.33,1.0,1.0,0.0
45,33000.0,0,1,0,c0d210398dee4a0895b24444a5fcd1d2,7.35,1.0,1.0,0.0
54,80000.0,1,0,0,57dd18ec5ddc46828afb81ec5977bef2,13.375,2.0,2.0,0.0
39,51000.0,0,1,0,be8a5d1981a2458d90b255ddc7e0d174,2.13,2.0,1.0,0.0
66,38000.0,1,0,0,7584948ea6d04f94b8798624706261c2,7.93,1.0,1.0,0.0
39,56000.0,1,0,0,f247806381704ea58c1b06f60602a6ae,6.52,1.0,1.0,0.0
29,50000.0,0,1,0,8a87fda1a6644337b4394a4c3cd0946c,10.72,1.0,1.0,0.0
36,56000.0,0,1,0,54890f68699049c2a04d415abc25e717,7.78,1.0,1.0,0.0
75,52000.0,0,1,0,a5a6ef2b78a04ddc9f374dd7c7f60bff,13.69,1.0,1.0,0.0
67,76000.0,0,1,0,2e87ba0fba1a4d1a8614af771f07a94d,22.1,1.0,1.0,0.0
77,51000.0,0,1,0,d8af520c4a8a4c77b921098d7d838c4d,3.5500000000000003,2.0,2.0,0.0
76,64000.0,0,1,0,39dbcf43e24d41f4bbf0f134157e0e1e,0.0,1.0,1.0,0.0
53,72000.0,1,0,0,8c7df0c393db488aac3e58b06a7ea5f9,14.08,1.0,1.0,0.0
61,112000.0,1,0,0,fb98ebe9e3e14afaa5b5db182b00b7ec,0.0,1.0,1.0,0.0
67,77000.0,1,0,0,5cd6577aca5d4b419e452f9f505ffce7,23.59,1.0,1.0,0.0
30,41000.0,0,1,0,faf74115a43b4f718f4d4c0de116ee8a,0.0,1.0,1.0,0.0
59,89000.0,0,1,0,0b73997a269247088b2a63355f53ee58,0.0,1.0,1.0,0.0
27,35000.0,0,1,0,6e04a90a0e074496b5f229eb1f553433,2.195,2.0,2.0,0.0
40,53000.0,0,1,0,262ad0fb526a4d53b572007da60cce24,1.035,2.0,1.0,0.0
73,91000.0,1,0,0,a2b7a0b3487a4d779ddf4e11a034e2ee,0.0,1.0,1.0,0.0
42,66000.0,0,1,0,9d6da0a2ac54474e8ec986fd21cecef0,18.81,1.0,1.0,0.0
78,58000.0,0,1,0,571b739ada3041fb8fbd20f23ce034f7,10.376666666666667,3.0,3.0,0.0
49,57000.0,1,0,0,68eee228713c429ebe1300155ad1fb33,21.89,2.0,2.0,0.0
73,51000.0,0,1,0,0ba6e2ad781c4429afd26cf0b35f2d11,3.41,2.0,2.0,0.0
50,93000.0,1,0,0,b5abc1e85be84f43937b4fca0ad238cb,0.0,1.0,1.0,0.0
66,49000.0,0,1,0,21c73d53e2a74bb1b4dc172bff2b1aad,13.75,1.0,1.0,0.0
66,58000.0,1,0,0,92e07c49ee7448fca6e48df0c96e3eec,8.05,2.0,1.0,0.0
76,63000.0,0,1,0,a9780228a1d04539afdee8b745e4be10,15.79,1.0,1.0,0.0
39,60000.0,1,0,0,6d28f18e91324d358d69d1e4b01f1ace,17.21,1.0,1.0,0.0
57,46000.0,0,1,0,0ac5ffb0f1624297a453494b845e1a91,1.315,2.0,2.0,0.0
51,56000.0,1,0,0,1a353048b0884fc5a0afa27677ef1e80,6.15,2.0,2.0,0.0
71,57000.0,0,1,0,6747dda08bed46298c23e05b64820a3a,7.32,1.0,1.0,0.0
64,66000.0,1,0,0,f35b342b24734da18a830bb9329a4fbd,19.9,1.0,1.0,0.0
83,46000.0,0,1,0,4c29d22467af4d7faa137c4eedd65340,3.75,1.0,1.0,0.0
26,71000.0,0,1,0,e997a086fc13446da2aa9070d98d191a,0.0,1.0,1.0,0.0
29,58000.0,1,0,0,17af917bb842480e925e49a8ca08c1f8,3.05,1.0,1.0,0.0
89,65000.0,1,0,0,3dae0eadb47149b0b9b548d14548524b,18.09,1.0,1.0,0.0
49,79000.0,1,0,0,5404741ead9442bdbd4b9aa2273e85af,0.0,1.0,1.0,0.0
55,94000.0,1,0,0,b2f1cd155b864803ad8334cdf13c4bd2,23.48,2.0,2.0,0.0
55,66000.0,0,1,0,37a97f6e09784a07bbb67bc6539f1a00,12.976666666666667,3.0,1.0,0.0
45,31000.0,0,1,0,77927096ab4144fa930b4cadd4773cc2,0.0,1.0,1.0,0.0
77,69000.0,0,1,0,88baa20c29a94178a43a7d68e5f039d4,0.0,2.0,1.0,0.0
66,60000.0,0,1,0,a2bd377c7ab74d93bbfd87f70043a9f8,11.18,1.0,1.0,0.0
59,85000.0,1,0,0,28de174a5c854dd1be3187dc6edae45b,27.59,1.0,1.0,0.0
47,66000.0,0,1,0,a1eb338ccbca4cc88c9366939f16d819,0.0,1.0,1.0,0.0
60,108000.0,0,1,0,0c89378f14804b42b6e63e4dc26e8d3e,0.0,1.0,1.0,0.0
39,67000.0,1,0,0,fe97aa22dd3e48c8b143116a8403dd52,105.93,4.0,4.0,0.0
68,58000.0,0,1,0,c863af14b3654499b1caea5e640136d2,8.39,1.0,1.0,0.0
42,80000.0,0,1,0,d7dc31e069124ef49e1bb937cb89f41c,0.0,2.0,2.0,0.0
67,50000.0,0,1,0,0f54094029ca4107bfd36203aeb3ed14,0.0,2.0,2.0,0.0
52,42000.0,0,1,0,5f18c5754dc04baaa1267c823f877a85,1.23,1.0,1.0,0.0
55,51000.0,1,0,0,4293153650e04742b310ac06cd3810e9,12.02,1.0,1.0,0.0
22,63000.0,0,1,0,2ce2e03319c7446ca9c379b4589da19b,0.0,1.0,1.0,0.0
51,85000.0,1,0,0,3ecb372184104ff7bad0f0f60cb56e29,12.205,2.0,2.0,0.0
53,85000.0,1,0,0,8a37057f57c4495fb98dfcc8b909b09f,25.53,1.0,1.0,0.0
52,72000.0,0,1,0,629fc02d56414d91bca360decdfa9288,0.0,2.0,2.0,0.0
62,53000.0,0,1,0,c87b50fcdd4a4d2faacff6112243a8dd,12.85,1.0,1.0,0.0
55,65000.0,0,1,0,3bd5ba038a5c46cc94e8cd5e5739c967,3.03,1.0,1.0,0.0
27,50000.0,1,0,0,92214286965d4eb1ad14dc8b0b04a20f,15.13,1.0,1.0,0.0
50,69000.0,1,0,0,348bdc19d65f49b8b98f72c59e64cd89,20.535,2.0,2.0,0.0
45,94000.0,0,1,0,c74beaa959a742309ba8350b7d472676,12.85,2.0,2.0,0.0
82,87000.0,0,1,0,c79da41557894c7eacc5c0156dc1f4dc,19.46,2.0,2.0,0.0
40,57000.0,0,1,0,8cc1a1bd309842bfaafd4483d994579b,13.229999999999999,3.0,3.0,0.0
66,34000.0,0,1,0,83e2ccc1d4374c14865e8e2cf16007dd,1.79,1.0,1.0,0.0
52,63000.0,0,1,0,17c803219d1348d4a016691c947de0ed,0.0,1.0,1.0,0.0
68,69000.0,0,1,0,2204f8ff966f48db90246bd7b5918a7f,17.8,1.0,1.0,0.0
67,54000.0,1,0,0,0d18c37c8b58459f8aa6af2f7b541357,1.6099999999999999,1.0,1.0,0.0
69,64000.0,1,0,0,4e4c47b460b1414c8ddd459b61f84b9e,19.62,1.0,1.0,0.0
81,93000.0,0,1,0,accec36a10704e1fbaeb9b28b8bc5da8,0.0,2.0,2.0,0.0
62,73000.0,0,1,0,d1a6fe4c241e4dbf8a4da6fd6c714ac5,9.025,2.0,2.0,0.0
50,70000.0,0,1,0,9df2790f060d430e94f17189042e5671,16.72,1.0,1.0,0.0
54,118000.0,0,1,0,ae47fbe72b274838a2093c3e91bc03dc,16.73,1.0,1.0,0.0
64,38000.0,0,1,0,aa4a681ea192401ab469b616f8fe6885,2.19,2.0,1.0,0.0
54,99000.0,1,0,0,ae40f2f496e84ed29e7638b0bccee9a4,13.723333333333334,3.0,2.0,0.0
34,67000.0,1,0,0,5b9c1a35c0144b6ab584e666dec7c531,0.8400000000000001,2.0,1.0,0.0
44,53000.0,0,1,0,ad3c443c9ce34aa38929b0a84cb14c04,16.73,1.0,1.0,0.0
47,74000.0,1,0,0,e737ff591120415581ddbe817b8c82ca,23.27,1.0,1.0,0.0
60,59000.0,1,0,0,9cb34ff9de694c578154da3efc9915db,1.4300000000000002,2.0,1.0,0.0
83,54000.0,0,1,0,32189735a963491082e35dd4c3221690,9.620000000000001,2.0,1.0,0.0
89,101000.0,0,1,0,2c5c71b7bfaa4e3e8088fc177e6e559b,11.116666666666667,3.0,2.0,0.0
40,51000.0,1,0,0,f93884685d214230bbc7c5f46aef121f,5.71,1.0,1.0,0.0
79,99000.0,1,0,0,341276cb09ac42ad8473be091b52b082,22.87,1.0,1.0,0.0
71,30000.0,0,1,0,18174519037241e9b1ddcb627ca4dc41,1.6099999999999999,1.0,1.0,0.0
89,96000.0,0,1,0,2f442d5255324bbd9438b8a213544532,21.06,1.0,1.0,0.0
41,83000.0,0,1,0,031387fa9cfd47e88f4e4b4b4cb71925,0.0,1.0,1.0,0.0
67,106000.0,0,1,0,2a01c11fdcc441bcbdc842c35adccb2f,22.42,1.0,1.0,0.0
77,80000.0,1,0,0,78e9be059fce46a1b610f74e0e812a4a,24.99,1.0,1.0,0.0
37,64000.0,0,1,0,0e4e14ea66044a9eaee0b5efbff6ca62,17.58,2.0,2.0,0.0
30,54000.0,0,1,0,c894971c9e414a358b84255199727636,8.3,1.0,1.0,0.0
51,54000.0,0,1,0,e277228d77a64ab896d6dd6d88f970d3,8.75,1.0,1.0,0.0
