age,income,F,M,O,user id,type 1,offers type 1,viewed type 1,completed type 1
75,100000.0,1,0,0,78afa995795e4d85b5d9ceeca43f5fef,20.805,2.0,2.0,2.0
68,70000.0,0,1,0,e2127556f4f64592b11af22de27a7932,18.42,1.0,1.0,1.0
65,53000.0,0,1,0,389bc3fa690240e798340f5a15918d5c,5.21,3.0,3.0,1.0
61,57000.0,1,0,0,aa4862eba776480b8bb9c68455b8c2e1,12.445,2.0,2.0,2.0
26,46000.0,0,1,0,e12aeaf2d47d42479ea1c4ac3d8286c6,0.0,1.0,1.0,0.0
49,52000.0,0,1,0,62cf5e10845442329191fc246e7bcea3,109.3,1.0,1.0,1.0
61,40000.0,1,0,0,a448667f336b42c9a66fc5ffd5d73772,0.0,2.0,1.0,0.0
64,100000.0,0,1,0,4b0da7e80e5945209a1fdddfe813dbe0,15.525,2.0,2.0,1.0
78,71000.0,1,0,0,c27e0d6ab72c455a8bb66d980963de60,0.0,1.0,1.0,0.0
42,69000.0,0,1,0,f806632c011441378d4646567f357a21,12.94,1.0,1.0,1.0
56,88000.0,1,0,0,d058f73bf8674a26a95227db098147b1,9.493333333333334,3.0,3.0,1.0
46,59000.0,1,0,0,7429a044884842d6862f516c38b1156f,0.0,1.0,1.0,0.0
59,41000.0,0,1,0,ebe7ef46ea6f4963a7dd49f501b26779,0.0,2.0,1.0,0.0
67,96000.0,0,1,0,5917d13f6fa04286abdf95f4d5cefb1e,25.42,1.0,1.0,1.0
53,52000.0,0,0,1,d1ede868e29245ea91818a903fec04c6,0.0,3.0,2.0,0.0
22,70000.0,0,1,0,1e9420836d554513ab90eba98552d0a9,0.0,2.0,2.0,0.0
96,89000.0,1,0,0,868317b9be554cb18e50bc68484749a2,22.05,1.0,1.0,1.0
40,33000.0,0,1,0,f082d80f0aac47a99173ba8ef8fc1909,0.0,4.0,3.0,0.0
69,57000.0,1,0,0,102e9454054946fda62242d2e176fdce,12.786666666666667,3.0,3.0,2.0
75,40000.0,0,1,0,6e014185620b49bd98749f728747572f,5.79,1.0,1.0,1.0
20,30000.0,1,0,0,02c083884c7d45b39cc68e1314fec56c,0.0,1.0,1.0,0.0
45,33000.0,0,1,0,c0d210398dee4a0895b24444a5fcd1d2,3.005,2.0,2.0,1.0
61,98000.0,0,1,0,8b70ca1f5f5a45bdac2ac2f990b71526,0.0,1.0,1.0,0.0
69,37000.0,1,0,0,8e7c7465e98c43d8a01f51e2b5c29542,0.0,3.0,2.0,0.0
54,80000.0,1,0,0,57dd18ec5ddc46828afb81ec5977bef2,19.393333333333334,3.0,2.0,2.0
39,51000.0,0,1,0,be8a5d1981a2458d90b255ddc7e0d174,3.58,2.0,2.0,1.0
